#--------------------------------------------------
# info: beam
# columns: channel, slope, intercept, correlation
#--------------------------------------------------
220,0.44,0.24,0.29
221,0.48,0.29,0.39
222,0.15,0.09,0.16
223,0.53,0.27,0.41
224,0.51,0.73,0.40
225,0.53,0.60,0.39
226,0.59,0.29,0.42
227,0.54,0.21,0.41
228,0.47,0.75,0.40
229,0.51,0.69,0.41
230,0.53,0.12,0.42
231,0.24,0.73,0.24
232,0.98,0.47,0.85
233,1.02,-0.47,0.85
